Zip,Latitude,Longitude
48414,42.86178,-84.07879
50005,42.12925,-93.02632
50067,40.7157,-93.85996
50144,40.73871,-93.74101
50861,40.91157,-94.2565
51453,42.26946,-94.54712
53006,43.62009,-88.53642
53705,43.07364,-89.46339
56447,46.73516,-93.91683
95542,40.08672,-123.78492
96759,21.46741,-158.07241
97135,45.19514,-123.95611
98650,45.97293,-121.52874
2743,41.71385,-70.90123
4106,43.63068,-70.28913
7054,40.85565,-74.40225
11692,40.59369,-73.79231
12053,42.75365,-74.1923
12093,42.4968,-74.6268
12987,44.32195,-73.76709
15219,40.44227,-79.98321
18471,41.52832,-75.69221
18974,40.21597,-75.07296
20736,38.69041,-76.62805
92301,34.64464,-117.54086
94551,37.75262,-121.77003
22209,38.89469,-77.07532
33414,26.64843,-80.25008
39362,31.39196,-88.54069
45869,40.4566,-84.39712
48204,42.36576,-83.14294
50676,42.79629,-92.27961
51444,42.00485,-94.97312
54542,45.92228,-88.71962
54563,45.46546,-90.97366
57775,44.10347,-102.01598
46536,41.51836,-86.28482
54739,44.86288,-91.7014
45646,39.07677,-83.3229
45653,38.89155,-82.8231
48228,42.35545,-83.21705
49250,42.01912,-84.62273
50072,41.46964,-94.12251
58043,45.97677,-97.541
58494,47.15652,-100.28022
61911,39.70325,-88.4698
62808,38.30206,-89.18748
63941,36.8901,-91.17029
68785,42.42647,-96.72412
70657,30.50316,-93.15042
74114,36.127,-95.94659
75109,32.04523,-96.35405
79052,34.36101,-101.74252
85028,33.57555,-112.00911
86511,35.64746,-109.24552
86520,36.11052,-109.93602
89449,38.96431,-119.90684
720,18.21772,-66.42816
1960,42.53372,-70.97223
91320,34.17596,-118.94506
95735,38.82061,-120.15228
96119,41.02327,-120.52529
97761,44.84165,-121.29841
98859,48.80241,-118.91408
99923,55.97796,-130.03671
13406,43.13529,-74.91789
15559,40.05541,-78.68145
15612,40.13737,-79.59981
17555,40.12135,-75.96421
18641,41.33603,-75.73045
22193,38.64308,-77.34807
24350,36.81117,-81.01963
28214,35.27488,-80.96851
93267,36.15106,-119.05196
96010,40.91942,-123.24622
32764,28.84704,-81.08391
34238,27.23049,-82.46878
41832,37.14879,-82.95853
43203,39.9731,-82.96898
46516,41.67571,-85.94449
47354,40.04568,-85.19698
48237,42.46494,-83.18237
48554,42.97584,-83.79096
49817,45.96723,-86.4632
50138,41.30073,-93.10425
50582,42.79502,-94.30163
52584,40.64523,-92.25362
52760,41.58174,-91.09907
54304,44.49407,-88.0679
56229,44.59331,-95.71817
57792,44.53919,-102.41636
99605,60.79358,-149.54918
94578,37.70642,-122.1253
95627,38.72619,-122.01421
95665,38.40208,-120.65144
96132,40.89059,-120.37772
59633,46.81903,-112.35917
60643,41.69955,-87.66276
60958,41.06492,-87.59135
67855,37.55289,-101.68846
57776,45.26374,-103.49577
13439,42.85611,-74.99561
14220,42.84565,-78.82321
15484,39.89269,-79.7837
19967,38.53871,-75.12258
24132,37.21021,-80.6498
26152,39.01006,-81.19587
30428,32.21932,-82.71128
59354,46.20586,-104.39787
61760,40.88106,-89.02875
62948,37.81689,-89.02951
63381,38.98402,-91.25447
64062,39.45339,-94.16986
64088,39.15841,-94.18443
64421,39.91297,-94.93341
67127,37.16743,-99.4884
73049,35.58643,-97.30171
73142,35.61379,-97.64242
74370,36.76577,-94.6798
75056,33.07393,-96.91484
76367,33.97433,-98.72275
77407,29.67651,-95.71253
78675,30.44589,-98.68497
80542,40.23473,-104.99937
85718,32.33335,-110.91662
87317,35.58757,-108.76101
94621,37.7388,-122.20814
95129,37.30575,-122.00091
97490,44.00425,-123.61199
98028,47.75423,-122.24753
1350,42.72265,-72.98245
31625,30.9931,-83.52844
31747,31.17597,-83.58761
35978,34.64379,-85.72787
74403,35.67168,-95.30678
74650,36.47746,-96.74748
74867,34.96441,-96.55666
76642,31.50128,-96.51757
76670,32.13146,-96.98936
77807,30.67879,-96.48006
78065,29.07762,-98.63983
80203,39.73174,-104.98265
84084,40.62288,-111.96464
87144,35.32392,-106.70973
96748,21.11381,-156.87944
98367,47.46508,-122.68313
98901,46.69319,-120.41528
99574,60.63145,-146.0407
38603,34.83463,-89.14271
2542,41.70259,-70.54687
8110,39.97228,-75.0606
73647,35.42781,-99.15909
78339,27.80511,-97.79226
79699,32.46227,-99.71586
80125,39.48598,-105.05018
80829,38.82807,-104.9358
82401,43.98603,-108.14599
85623,32.70641,-110.8053
86413,35.20499,-114.33208
91384,34.53072,-118.68639
91730,34.09955,-117.57847
92007,33.0219,-117.2735
92081,33.16431,-117.24028
93103,34.438,-119.68057
94947,38.11324,-122.62972
96008,40.71236,-122.10816
96062,40.57391,-122.07108
97732,43.39673,-118.45323
22601,39.17472,-78.17353
23437,36.63562,-76.80294
26560,39.54143,-80.14517
27262,35.96231,-80.03839
28547,34.6713,-77.37371
28905,35.16395,-83.94009
30528,34.61549,-83.79492
99712,64.99326,-146.14966
62889,38.45813,-88.82921
70094,29.91347,-90.20805
34652,28.23662,-82.73668
35444,33.33696,-87.30323
36476,31.36303,-86.55096
37083,36.54396,-86.00239
37810,36.18021,-83.10307
43011,40.31046,-82.68616
45623,38.6415,-82.26784
45826,40.43575,-84.49344
46140,39.80339,-85.77069
46240,39.90687,-86.12361
46616,41.69807,-86.26654
48166,41.9863,-83.29408
49450,42.48437,-86.08277
49705,45.35578,-84.46131
49782,45.68297,-85.54832
50038,41.52342,-93.90269
51346,43.18233,-95.46082
56175,44.25519,-95.63527
56661,47.85834,-94.12806
10941,41.48857,-74.34496
11783,40.67767,-73.49062
14060,42.44658,-78.30793
14618,43.113,-77.55536
14836,42.5163,-77.9178
20866,39.10945,-76.93354
22650,38.75957,-78.35993
26075,40.19497,-80.65901
26812,38.88169,-78.87695
27860,35.65075,-76.68044
29206,34.02828,-80.95838
29461,33.1587,-80.00009
59039,46.69466,-107.29021
59930,48.84902,-115.14309
62265,38.50064,-89.67063
64628,39.79719,-93.04697
65320,39.06997,-92.94723
65580,38.11479,-91.79612
68972,40.10787,-98.80645
70506,30.19548,-92.08133
31079,31.94087,-83.46037
31312,32.31022,-81.39869
33884,27.98101,-81.67356
35178,33.41984,-86.39876
35209,33.46529,-86.81167
35540,34.23388,-87.18817
37207,36.23282,-86.77655
37711,36.28318,-83.03736
38704,33.00716,-91.02129
38858,34.0997,-88.54372
41166,38.63741,-83.09222
42450,37.39614,-87.76331
43605,41.64825,-83.50669
45323,39.84989,-83.92759
46150,39.54485,-85.60236
48048,42.74246,-82.79774
53217,43.15744,-87.91631
54555,45.70662,-90.3978
56755,48.97109,-97.10472
58725,48.49193,-101.68351
90010,34.06211,-118.31577
91355,34.42467,-118.58925
95004,36.87409,-121.633
95942,40.01871,-121.56466
95993,39.08184,-121.68845
99118,48.89659,-118.639
99361,46.23673,-118.1439
7922,40.67518,-74.42817
646,18.43401,-66.2833
